S1,S1 Meaning,S1 IPA,File1,S2,S2 Meaning,S2 IPA,File2,
krus,Mug,kruːs,1,grus,Gravel,ɡruːs,2,
blad,leaf,blað,3,glad,Happy,glað,4,
pakke,Pack,pɑgə,5,bakke,Hill,bɑgə,6,
sår,Wound,sɒ,7,får,Sheep,fɒˀ,8,
skåle,To Toast,sgɔːlə,9,skole,school,sgoːlə,10,
pinde,Stick,penə,11,penne,Large Feather,pεsnə,12,
ti,Ten,ti,13,si,Sieve,siːˀ,14,
si ,Sieve,siːˀ,15,se,To see,seˀ,16,
hår,Hair,hɒ,17,får,Sheep,fɒˀ,18,
bur ,Cage,buɐ̯,19,bord,Table,boˀɐ̯,20,
ord,A point,oˀɐ̯,21,ur,Clock,uɐ̯ˀ,22,
hund,Dog,hunˀ,23,hånd,Hand,hʌnˀ,24,
mål,Language,mɔˀl,25,nål,Needle,nɔˀ,26,
stok,Stick or Cane,sdʌg,27,stop,Plug or fuse,sdʌb,28,
kul,Coal,kɔl,29,kål,"Cabbage, Kale",kɔˀl,30,
stige,Ladder,sdiːə,31,stage,,sdæːjə,32,
lange,,lɑŋə,33,mange,Many,mɑŋə,34,
tønde ,"Barrel, Toilet",tønə,35,tænde,"Kindle, turn on",tεnə,36,
sukker ,Suggar,sɔgʌ,37,sokker,Socks,sʌg,38,(sok)
ski ,Ski,sgiˀ,39,sky,Shy,sgyˀ,40,
næse ,"Nose, Reprimand",nεːsə,41,læse,"To Read, To Study",lεːsə,42,
bund ,Bottom,bɔnˀ,43,bom,"Bar, Barrier",bɔmˀ,44,
måle ,Measure,mɔːlə,45,mule,"Muzzle, To Pommel",muːlə,46,
master ,Mast(?),mɑːsdʌ,47,masker,Mask,masgə,48,
feje ,Sweep,fɑjə,49,veje,To Weigh,vɑjə,50,
male ,To Paint,mæːlə,51,made,To Feed,mæːðə,52,
knude,Knot (or Node),knuːðə,53,klude,Rags(?),kluðˀ,54,
sal,"Hall, Room",sæˀl,55,sjal,Shawl,ɕæˀl,56,
penne,Large Feather,pεsnə,57,penge,"Excellent, Good",pεŋə,58,
due,"Pigeon, Dove",duːə,59,tue,,tuːə,60,
duen,"A Pigeon, a dove",duːə,61,dugen,The dew,hʌnˀ,62,(dug)
dragt,Dress,dʁɑgd,63,tragt,Funnel,tʁɑgd,64,
made ,Feed,mæːðə,65,bade,Showers,bæːðə,66,
måle,measure,mɔːlə,67,måne,"Moon, Bald patch",mɔːnə,68,
løbe,Run,løːbə,69,løve,Lion,løːvə,70,
krukke,"Jar, Jug",kʁɔgə,71,krykke,Crutch,kʁœgə,72,
regn,Rain,ˈʁɑjˀn,73,hegn,Fence,hɑjˀn,74,
ruge,Hatch(?),ʁuːə,75,ryge,Smoke,ʁyːə,76,
krabbe,Crab,kʁɑbə,77,trappe,Stairs,tʁɑbə,78,
fulde,"Full, Complete",fulə,79,fugle,Birds,fuˀl,80,*or fuːlə-
rede,Ready,ʁεːðə,81,røde,Red,ʁœðˀ,82,
kugle,"Ball, Sphere",kuːlə,83,gule,Yellow,guˀl,84,
se,To see,seˀ,85,sø,Lake,søˀ,86,
rød,Red,ʁœðˀ,87,rod,"Disorder, Root",ʁoˀð,88,
ride,"Ride, Type of bird",ʁiːðə,89,hvide,Egg white,viːðə,90,
sand,"True, Sand",sanˀ,91,vand,"Water, Soft drink",vanˀ,92,
top,"Summit, Top",tʌb,93,kop,A Cup,kʌb,94,
